V1	V2	V3
1	21	1	1
2	24	2	2
3	11	2	2
4	10	1	2
5	12	2	2
6	21	1	2
7	23	2	1
8	15	1	2
9	9	2	2
10	8	2	2
11	12	2	2
12	10	1	1
13	8	1	2
14	9	2	2
15	12	2	2
16	13	2	2
17	19	2	2
18	14	2	2
19	12	1	1
20	8	2	2
21	10	1	1
22	13	2	2
23	11	2	2
24	15	2	2
25	19	2	2
26	12	1	2
27	8	1	1
28	12	1	2
29	15	1	1
30	8	1	1
31	10	1	1
32	14	1	2
33	11	1	1
34	20	1	2
35	15	1	2
36	12	2	2
37	15	1	1
38	11	2	3
39	9	2	3
40	7	1	2
41	14	2	2
42	7	2	1
43	9	1	1
44	12	2	2
45	11	2	2
46	7	1	2
47	9	1	2
48	5	2	2
49	7	2	2
50	8	2	2
51	16	1	2
52	10	1	2
53	7	2	2
54	13	2	2
55	12	2	1
56	14	1	2
57	15	1	2
58	13	1	1
59	5	1	2
60	11	1	2
61	19	2	2
62	21	2	2
63	7	1	2
64	8	2	2
65	6	1	1
66	15	2	2
67	19	1	2
68	6	2	2
69	15	2	2
70	8	1	2
71	11	2	2
72	10	1	2
73	14	1	1
74	5	1	2
75	18	2	2
76	26	1	2
77	11	1	2
78	7	1	2
79	9	2	2
80	7	2	2
81	9	2	2
82	12	1	2
83	9	1	2
84	14	1	1
85	8	2	2
86	15	1	1
87	11	2	2
88	8	1	1
89	7	2	2
90	5	2	1
91	12	1	2
92	19	1	2
93	16	1	1
94	10	2	2
95	13	1	1
96	6	2	2
97	4	2	2
98	12	1	2
99	14	1	1
100	19	1	1
101	14	2	2
102	7	1	1
103	19	1	2
104	39	1	2
105	13	2	2
106	11	1	2
107	14	2	2
108	17	1	2
109	8	1	1
110	14	1	2
111	11	1	1
112	8	1	2
113	9	2	2
114	7	1	2
115	17	1	2
116	14	2	2
117	21	1	1
118	20	1	1
119	8	2	2
120	8	1	2
121	13	2	2
122	11	1	1
123	5	1	2
124	8	2	2
125	8	1	2
126	14	1	2
127	7	1	1
128	16	2	2
129	7	1	2
130	8	1	1
131	11	2	2
132	8	2	2
133	15	1	2
134	13	2	2
135	8	1	2
136	11	1	2
137	23	2	2
138	9	2	2
139	12	1	2
140	12	2	2
141	14	1	2
142	14	1	2
143	11	1	2
144	7	2	2
145	12	1	2
146	8	1	1
147	7	1	2
148	9	2	1
149	12	1	1
150	14	1	1
151	7	1	2
152	6	1	2
153	5	1	1
154	8	1	2
155	7	1	2
156	13	1	2
157	30	1	2
158	13	1	1
159	11	2	2
160	9	1	2
161	7	1	2
162	19	1	1
163	17	1	1
164	10	1	2
165	7	1	2
166	11	1	2
167	8	1	1
168	9	1	2
169	11	1	1
170	5	2	2
171	3	1	1
172	13	2	2
173	14	1	1
174	32	2	1
175	12	2	2
176	10	2	1
177	8	1	1
178	6	2	1
179	9	2	2
180	12	1	1
181	8	1	2
182	5	1	1
183	17	1	2
184	15	1	2
185	20	1	2
186	10	1	2
187	11	1	2
188	5	2	2
189	15	2	2
190	14	1	2
191	10	1	2
192	8	1	2
193	12	1	2
194	14	1	1
195	7	2	1
196	9	1	2
197	12	1	1
198	14	1	1
199	16	1	2
200	10	1	1
201	7	2	2
202	15	2	2
203	12	1	2
204	9	1	2
205	21	2	2
206	17	1	1
207	7	1	1
208	17	1	2
209	8	2	2
210	2	1	1
211	10	1	1
212	8	2	2
213	12	1	1
214	3	1	1
215	15	2	2
216	13	1	1
217	17	1	2
218	14	2	2
219	11	1	2
220	14	1	1
221	14	1	2
222	13	1	1
223	10	1	2
224	14	1	1
225	15	2	1
226	13	1	2
227	8	1	1
228	7	1	2
229	8	1	2
230	5	1	2
231	12	2	2
232	15	1	2
233	9	1	2
234	9	1	2
235	9	1	2
236	13	1	1
237	15	1	2
238	17	1	2
239	16	1	2
240	9	1	2
241	7	2	2
242	6	1	2
243	10	1	2
244	11	1	2
245	8	1	2
246	5	1	2
247	7	1	2
248	11	1	2
249	13	1	2
250	15	1	1
251	17	1	1
252	8	1	2
253	13	2	2
254	10	2	2
255	12	1	2
256	16	1	2
257	12	1	1
258	7	1	2
259	5	1	1
260	5	1	2
261	4	1	1
262	8	2	2
263	11	2	2
264	6	1	1
265	11	1	1
266	15	1	2
267	12	1	2
268	17	1	1
269	7	2	2
270	8	2	1
271	7	1	2
272	8	1	1
273	7	1	2
274	16	1	1
275	15	1	2
276	5	1	1
277	5	1	2
278	10	1	2
279	8	1	1
280	7	1	2
281	11	1	1
282	9	1	1
283	9	2	2
284	10	1	2
285	13	1	1
286	10	2	2
287	7	1	1
288	6	1	2
289	3	1	1
290	16	2	2
291	14	1	1
292	12	1	2
293	13	1	1
294	8	1	2
295	17	1	2
296	6	1	2
297	8	2	2
298	9	1	2
299	11	1	1
300	10	2	2
301	13	2	1
302	15	1	1
303	13	1	1
304	16	1	1
305	4	1	2
306	10	2	2
307	7	2	1
308	3	1	2
309	11	2	2
310	16	1	1
311	9	2	2
312	15	1	2
313	11	1	2
314	9	2	1
315	6	1	2
316	6	2	2
317	7	1	1
318	9	1	2
319	14	2	2
320	11	1	2
321	5	1	1
322	11	2	2
323	15	1	1
324	13	1	1
325	7	2	2
326	4	1	1
327	17	1	2
328	6	1	2
329	8	1	1
330	10	1	2
